"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk, Przymorze Małe",120500.0,54.0,2231.4814814814813," 22 kwietnia 2025","Syndyk ogłasza konkurs ofert na sprzedaż nieruchomości.","https://www.olx.pl/d/oferta/syndyk-oglasza-konkurs-ofert-na-sprzedaz-nieruchomosci-CID3-ID15ww6i.html"
"Gdańsk, Kokoszki",299000.0,90.0,3322.222222222222," Odświeżono Dzisiaj o 06:58","Mieszkanie 53 m2 - 25 min. do centrum Gdańska","https://www.olx.pl/d/oferta/mieszkanie-53-m2-25-min-do-centrum-gdanska-CID3-ID133lB4.html"
"Gdańsk, Orunia",867000.0,178.0,4870.786516853933," Św. Wojciech - Lipce - 04 maja 2025","Garaż na 2 samochody / mieszkanie jak dom / ogródek / OD ZARAZ","https://www.otodom.pl/pl/oferta/garaz-na-2-samochody-mieszkanie-jak-dom-ogrodek-od-zaraz-ID4vdsO.html"
"Gdańsk",289000.0,53.0,5452.830188679245," 18 kwietnia 2025","Mieszkanie 3-pok. 20min. do centrum Gdańska","https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-20min-do-centrum-gdanska-ID4tVuh.html"
"Gdańsk",729000.0,130.0,5607.692307692308," 16 kwietnia 2025","Dwupoziomowe mieszkanie w Gdańsku","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-gdansku-ID4wNzw.html"
"Gdańsk",359000.0,56.86,6313.753077734787," 02 maja 2025","Stogi/Górki zach. 1,5 km od plaży, garaż!","https://www.otodom.pl/pl/oferta/stogi-gorki-zach-1-5-km-od-plazy-garaz-ID4wGLu.html"
"Gdańsk, Orunia",410000.0,59.4,6902.3569023569025," Św. Wojciech - Lipce - 02 maja 2025","2 pokoje do remontu Orunia","https://www.otodom.pl/pl/oferta/2-pokoje-do-remontu-orunia-ID4vcAf.html"
"Gdańsk, Orunia",499000.0,70.0,7128.571428571428," Św. Wojciech - Lipce - 15 kwietnia 2025","Mieszkanie w świetnej lokalizacji !!!","https://www.otodom.pl/pl/oferta/mieszkanie-w-swietnej-lokalizacji-ID4wYmf.html"
"Gdańsk Jasień, Stężycka 43A",695000.0,95.0,7315.789473684211,"Dodano: 25.04.2025","Mieszkanie 95 m2, Jasień! Gotowe do odbioru! Dwa miejsca, fotowoltaika","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/mieszkanie-95-m2-jasien-gotowe-do-odbioru-dwa-miejsca-fotowoltaika-ogl66064556.html"
"Gdańsk",527902.0,67.73,7794.21231359811," 13 kwietnia 2025","⭐4 pokoje + Hala Garażowa_ Wielkie Rabaty","https://www.otodom.pl/pl/oferta/4-pokoje-hala-garazowa-wielkie-rabaty-ID4wRC1.html"
"Gdańsk",527596.0,67.69,7794.297532870439," Odświeżono dnia 01 maja 2025","⏳4 pokoje + Hala Garażowa -> Dni Otwarte","https://www.otodom.pl/pl/oferta/4-pokoje-hala-garazowa-dni-otwarte-ID4v4Jo.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,89.01,7892.371643635546,"Zaktualizowano: 29.04.2025","Przestronne 4-pokojowe mieszkaniez z Antresolą!","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/przestronne-4-pokojowe-mieszkaniez-z-antresola-ogl65694811.html"
"Gdańsk, Kokoszki",702500.0,88.93,7899.471494433824," 30 kwietnia 2025","4-pokojowe mieszkanie 88m2 + balkon","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88m2-balkon-ID4uk52.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.93,7899.471494433824,"Zaktualizowano: 29.04.2025","Komfortowe mieszkanie 4-pokojowe na Kokoszkach","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/komfortowe-mieszkanie-4-pokojowe-na-kokoszkach-ogl65694810.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.93,7899.471494433824,"Zaktualizowano: 29.04.2025","Duże 4-pokojowe mieszkanie z balkonem","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/duze-4-pokojowe-mieszkanie-z-balkonem-ogl65978306.html"
"Gdańsk, Matarnia",949000.0,120.0,7908.333333333333," 18 kwietnia 2025","Przestronne mieszkanie z tarasem | Gdańsk Matarnia","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-tarasem-gdansk-matarnia-ID4wXH4.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.72,7918.169522091975,"Zaktualizowano: 29.04.2025","Przestronne mieszkanie 4-pokojowe na Kokoszkach","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/przestronne-mieszkanie-4-pokojowe-na-kokoszkach-ogl65967336.html"
"Gdańsk, Kokoszki",702500.0,88.68,7921.741091565177," 01 maja 2025","4-pokojowe mieszkanie 88m2 + balkon Bezpośrednio","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88m2-balkon-bezposrednio-ID4uk3F.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.67,7922.6344874252845,"Zaktualizowano: 20.03.2025","Nowa Cegielnia - B9M3 - Gdańsk Kokoszki - gotowe do odbioru","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/nowa-cegielnia-b9m3-gdansk-kokoszki-gotowe-do-odbioru-ogl64885006.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.67,7922.6344874252845,"Zaktualizowano: 29.04.2025","Przestronne 3-pokojowe mieszkanie z antresolą!","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/przestronne-3-pokojowe-mieszkanie-z-antresola-ogl66044564.html"
"Gdańsk Kokoszki, Stokłosy",702500.0,88.67,7922.6344874252845,"Zaktualizowano: 29.04.2025","Ciekawe 3-pokojowe mieszkanie na Kokoszkach","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/ciekawe-3-pokojowe-mieszkanie-na-kokoszkach-ogl65978300.html"
"Gdańsk Kokoszki, Stokłosy",712000.0,87.77,8112.111199726558,"Zaktualizowano: 29.04.2025","Komfortowe 4-pokojowe mieszkanie z garderobą","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/komfortowe-4-pokojowe-mieszkanie-z-garderoba-ogl65694806.html"
"Gdańsk, Orunia",780000.0,96.0,8125.0," Św. Wojciech - Lipce - 08 kwietnia 2025","Mieszkanie z ogródkiem (bliźniak) 10 min od Starówki","https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-blizniak-10-min-od-starowki-ID4wRcr.html"
"Gdańsk, Kokoszki",712000.0,87.45,8141.795311606632," 01 maja 2025","4-pokojowe mieszkanie 87m2 + balkon Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-bez-prowizji-ID4uk4T.html"
"Gdańsk Kokoszki, Stokłosy",712000.0,87.45,8141.795311606632,"Zaktualizowano: 29.04.2025","Mieszkanie 4 - pokojowe z aneksem kuchennym","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-4-pokojowe-z-aneksem-kuchennym-ogl65967404.html"
"Gdańsk, Kokoszki",712000.0,87.44,8142.726440988106," 01 maja 2025","4-pokojowe mieszkanie 87m2 + balkon Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-bez-prowizji-ID4uk4a.html"
"Gdańsk Kokoszki, Stokłosy",712000.0,87.44,8142.726440988106,"Zaktualizowano: 29.04.2025","Duże 4 pokoje z antresolą na Gdańskich Kokoszkach","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/duze-4-pokoje-z-antresola-na-gdanskich-kokoszkach-ogl65967290.html"
"Gdańsk, Osowa",990000.0,119.0,8319.327731092437," 06 kwietnia 2025","Sprzedam mieszkanie dwupoziomowe (4-pokoje)","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-dwupoziomowe-4-pokoje-ID4wPb8.html"
"Gdańsk",544600.0,65.05,8372.021521906227," Dzisiaj o 09:53","⭐4 pokoje + Hala Garażowa -> 12 min Starówka⭐","https://www.otodom.pl/pl/oferta/4-pokoje-hala-garazowa-12-min-starowka-ID4vefV.html"
"Gdańsk",544280.0,64.87,8390.319099737937," Odświeżono dnia 01 maja 2025","‼️Hit Cenowy ‼️ 4 pokoje + Hala Garażowa","https://www.otodom.pl/pl/oferta/hit-cenowy-4-pokoje-hala-garazowa-ID4wU5m.html"
"Gdańsk",670152.0,79.78,8400.0," 25 kwietnia 2025","Mieszkanie dwupoziomowe! 2 balkony! wybudowany!","https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-2-balkony-wybudowany-ID4tG5O.html"
"Gdańsk",672672.0,80.08,8400.0," 14 kwietnia 2025","Zielony Gdańsk/2-poziomowe/wybudowane!","https://www.otodom.pl/pl/oferta/zielony-gdansk-2-poziomowe-wybudowane-ID4wXuM.html"
"Gdańsk",474200.0,56.06,8458.794149125935," Odświeżono dnia 29 kwietnia 2025","‼️3 pokoje + hala garażowa‼️ 12 min Centrum","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-12-min-centrum-ID4v7ve.html"
"Gdańsk",474481.0,55.94,8481.962817304255," 10 kwietnia 2025","✨Słoneczne 3 pokoje z Halą Garażowa +Kom. lok","https://www.otodom.pl/pl/oferta/sloneczne-3-pokoje-z-hala-garazowa-kom-lok-ID4wU5B.html"
"Gdańsk",474300.0,55.88,8487.831066571223," 16 kwietnia 2025","⭐Dni Otwarte⭐ 18-19.04⭐ Duże Rabaty⭐ Hala Garażowa","https://www.otodom.pl/pl/oferta/dni-otwarte-18-19-04-duze-rabaty-hala-garazowa-ID4v0fX.html"
"Gdańsk",474460.0,55.89,8489.175165503668," Odświeżono dnia 01 maja 2025","⏳Dni otwarte⏳Hala+komórka lokatorska⏳Dod Rabat!","https://www.otodom.pl/pl/oferta/dni-otwartehala-komorka-lokatorskadod-rabat-ID4wTa9.html"
"Gdańsk",628400.0,74.0,8491.891891891892," Odświeżono dnia 02 maja 2025","4pok GOTOWE do odbioru 12min od Starówki +Parking","https://www.otodom.pl/pl/oferta/4pok-gotowe-do-odbioru-12min-od-starowki-parking-ID4wRk3.html"
"Gdańsk",474900.0,55.86,8501.611170784103," Odświeżono dnia 01 maja 2025","✔️Słoneczne 3pokoje+ hala Garażowa✔️13 min Centrum","https://www.otodom.pl/pl/oferta/sloneczne-3pokoje-hala-garazowa13-min-centrum-ID4wY3u.html"
"Gdańsk",475000.0,55.75,8520.17937219731," 11 kwietnia 2025","‼️3 pokoje + Hala garażowa ‼️ Najniższe ceny","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-najnizsze-ceny-ID4wWi4.html"
"Gdańsk",475980.0,55.84,8523.997134670486," 17 kwietnia 2025","✨Nowe 3 pokoje + Garaż_ 13 min od Centrum","https://www.otodom.pl/pl/oferta/nowe-3-pokoje-garaz-13-min-od-centrum-ID4wXDH.html"
"Gdańsk",475900.0,55.77,8533.261610184687," 15 kwietnia 2025","⭐Słoneczne 3 pokoje⭐ Hala Garażowa + Kom.lok","https://www.otodom.pl/pl/oferta/sloneczne-3-pokoje-hala-garazowa-kom-lok-ID4wYW5.html"
"Gdańsk",475100.0,55.6,8544.964028776978," Odświeżono dnia 01 maja 2025","⭐3 pokoje + Hala Garażowa⭐ Dni Otwarte","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-dni-otwarte-ID4v3K2.html"
"Gdańsk Orunia, Trakt Świętego Wojciecha",479000.0,56.0,8553.57142857143,"Zaktualizowano: 24.04.2025","Wysokie/ Możliwe 4 pokoje/ Odnowiona kamienica","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/wysokie-mozliwe-4-pokoje-odnowiona-kamienica-ogl66063322.html"
"Gdańsk",492500.0,57.28,8598.114525139665," Dzisiaj o 09:32","⭐3 pokoje + hala Garażowa⭐ 12 min od Starówki","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-12-min-od-starowki-ID4vecU.html"
"Gdańsk",474890.0,55.17,8607.757839405474," 24 kwietnia 2025","⭐3 pokoje + Hala Garażowa + Kom .lok⭐ Dni Otwarte","https://www.otodom.pl/pl/oferta/3-pokoje-hala-garazowa-kom-lok-dni-otwarte-ID4v6nV.html"
"Gdańsk Orunia, Żuławska",335000.0,38.6,8678.756476683937,"Zaktualizowano: 30.04.2025","2 pokoje niedaleko dworca","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/2-pokoje-niedaleko-dworca-ogl66069142.html"
"Gdańsk, Wrzeszcz",949000.0,107.88,8796.811271783463," Dzisiaj o 09:15","Gotowiec inwestycyjny - 2 niezależne mieszkania!","https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-2-niezalezne-mieszkania-ID4tXUj.html"
"Gdańsk Wrzeszcz Dolny, Saperów",949000.0,107.88,8796.811271783463,"Zaktualizowano: 02.05.2025","Gotowiec inwestycyjny - 2 niezależne mieszkania!","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/gotowiec-inwestycyjny-2-niezalezne-mieszkania-ogl65937056.html"
"Gdańsk Wrzeszcz Dolny, Adama Mickiewicza",850000.0,96.6,8799.171842650105,"Zaktualizowano: 07.04.2025","4-pokojowe mieszkanie we wrzeszczu!","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/4-pokojowe-mieszkanie-we-wrzeszczu-ogl65812780.html"
"Gdańsk, Wrzeszcz",849000.0,96.0,8843.75," 26 kwietnia 2025","pod inwestycje | gdańsk - wrzeszcz | parter","https://www.otodom.pl/pl/oferta/pod-inwestycje-gdansk-wrzeszcz-parter-ID4siMc.html"
"Gdańsk, Brętowo",629000.0,71.0,8859.154929577464," 08 kwietnia 2025","W pobliżu PKM! Kominek! Osobna kuchnia!","https://www.otodom.pl/pl/oferta/w-poblizu-pkm-kominek-osobna-kuchnia-ID4wQE4.html"
"Gdańsk",579650.0,64.98,8920.43705755617," Odświeżono dnia 29 kwietnia 2025","Gotowe do odbioru 4 pokoje + Parking_Dni otwarte","https://www.otodom.pl/pl/oferta/gotowe-do-odbioru-4-pokoje-parking-dni-otwarte-ID4v4Ay.html"
"Gdańsk",550000.0,61.5,8943.08943089431," 01 maja 2025","Przestronne mieszkanie na Kowalach!","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-kowalach-ID4v1N3.html"
