"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk, Przymorze Małe",120500,54.0,2231.4814814814813," 22 kwietnia 2025","Syndyk ogłasza konkurs ofert na sprzedaż nieruchomości.","https://www.olx.pl/d/oferta/syndyk-oglasza-konkurs-ofert-na-sprzedaz-nieruchomosci-CID3-ID15ww6i.html"
"Gdańsk, Kokoszki",299000,90.0,3322.222222222222," Odświeżono Dzisiaj o 09:03","Mieszkanie 53 m2 - 25 min. do centrum Gdańska","https://www.olx.pl/d/oferta/mieszkanie-53-m2-25-min-do-centrum-gdanska-CID3-ID133lB4.html"
"Gdańsk, Orunia",867000,178.0,4870.786516853933," Św. Wojciech - Lipce - 03 kwietnia 2025","Mieszkanie jak dom / 5 pokoi / garaż / ogródek","https://www.otodom.pl/pl/oferta/mieszkanie-jak-dom-5-pokoi-garaz-ogrodek-ID4wMKq.html"
"Gdańsk",289000,53.0,5452.830188679245," 18 kwietnia 2025","Mieszkanie 3-pok. 20min. do centrum Gdańska","https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-20min-do-centrum-gdanska-ID4tVuh.html"
"Gdańsk, Zaspa Młyniec",320000,58.0,5517.241379310345," 30 kwietnia 2025","Mieszkanie Bulgaria Sveti Vlas","https://www.olx.pl/d/oferta/mieszkanie-bulgaria-sveti-vlas-CID3-ID15CUfM.html"
"Gdańsk",729000,130.0,5607.692307692308," 16 kwietnia 2025","Dwupoziomowe mieszkanie w Gdańsku","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-gdansku-ID4wNzw.html"
"Gdańsk",799000,130.0,6146.153846153846," 11 kwietnia 2025","Komfortowy dom z poddaszem do aranżacji","https://www.otodom.pl/pl/oferta/komfortowy-dom-z-poddaszem-do-aranzacji-ID4tr8b.html"
"Gdańsk, Kokoszki",1250000,180.0,6944.444444444444," 24 kwietnia 2025","Mieszkanie z ogrodem i garażem | Stan deweloperski","https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-i-garazem-stan-deweloperski-ID4wmjr.html"
"Gdańsk",527902,67.73,7794.21231359811," 13 kwietnia 2025","⭐4 pokoje + Hala Garażowa_ Wielkie Rabaty","https://www.otodom.pl/pl/oferta/4-pokoje-hala-garazowa-wielkie-rabaty-ID4wRC1.html"
"Gdańsk",527596,67.69,7794.297532870439," Odświeżono Dzisiaj o 09:18","⏳4 pokoje + Hala Garażowa -> Dni Otwarte","https://www.otodom.pl/pl/oferta/4-pokoje-hala-garazowa-dni-otwarte-ID4v4Jo.html"
"Gdańsk, Kokoszki",702500,88.93,7899.471494433824," 30 kwietnia 2025","4-pokojowe mieszkanie 88m2 + balkon","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88m2-balkon-ID4uk52.html"
